icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a2c9ec,SWA2127,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-115.1507,36.0788,,True,6.43,92.81,,,,,False,0
c1e8d4,TR441,Canada,2026-09-07 06:48:59,2026-09-07 06:48:59,-79.6257,43.6844,,True,5.4,50.62,,,,,False,0
899126,SJX025,Taiwan,2026-09-07 06:48:59,2026-09-07 06:49:00,-112.3348,33.4109,2049.78,False,143.61,279.9,7.15,,2125.98,,False,0
899123,EVA637,Taiwan,2026-09-07 06:48:59,2026-09-07 06:49:00,-75.9123,41.6018,10363.2,False,233.21,289.99,0.0,,10645.14,2656,False,0
a360b7,JBU820,United States,2026-09-07 06:49:00,2026-09-07 06:49:00,-78.4068,42.4145,10972.8,False,216.63,283.18,0.0,,11323.32,7155,False,0
add734,JBU778,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-87.3531,43.1429,9448.8,False,240.65,96.26,0.0,,9921.24,7314,False,0
ad8791,N971CC,United States,2026-09-07 06:44:23,2026-09-07 06:44:23,-81.6213,41.4973,243.84,False,17.6,344.74,-2.6,,281.94,,False,0
a4f2ee,QFA7554,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-107.2972,32.4193,9753.6,False,262.19,265.39,-0.33,,10393.68,,False,0
a07dc8,UAL218,United States,2026-09-07 06:45:13,2026-09-07 06:45:24,-115.3299,38.4756,11277.6,False,289.32,77.47,-0.33,,11818.62,2646,False,0
a6cb48,JBU198,United States,2026-09-07 06:48:54,2026-09-07 06:48:54,-122.3062,47.4619,,True,8.23,0.0,,,,,False,0
a7fe18,N614FA,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-122.9459,45.5366,7.62,False,22.43,323.39,0.0,,38.1,4661,False,0
aa7f4e,UAL2129,United States,2026-09-07 06:47:40,2026-09-07 06:47:48,-100.5774,39.2991,10058.4,False,249.56,75.19,0.0,,10698.48,7276,False,0
aa7f65,GLG7394,United States,2026-09-07 06:49:00,2026-09-07 06:49:00,-74.4617,39.408,6941.82,False,217.57,40.2,-12.03,,7170.42,5445,False,0
c00dce,FLE600,Canada,2026-09-07 06:48:58,2026-09-07 06:48:59,-114.0664,49.0597,11277.6,False,231.68,100.36,0.0,,11490.96,,False,0
a39706,N330NL,United States,2026-09-07 06:49:00,2026-09-07 06:49:00,-117.8151,33.5933,1539.24,False,54.01,139.64,-0.33,,1577.34,5520,False,0
aa7ebc,UAL2017,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-117.9678,45.7969,10058.4,False,248.38,96.18,0.0,,10165.08,3532,False,0
