icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a5ed58,N481LP,United States,2026-09-07 06:58:02,2026-09-07 06:58:12,-112.2943,33.5305,,True,0.77,205.31,,,,,False,0
a4dfd2,FFT1261,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-113.9519,36.6224,10972.8,False,199.32,229.82,-0.33,,11582.4,3533,False,0
0d0efb,VTM599,Mexico,2026-09-07 06:58:17,2026-09-07 06:58:17,-97.4228,29.7047,9144.0,False,241.28,220.24,0.0,,9715.5,2266,False,0
a44939,UAL1703,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-80.9277,29.9143,10363.2,False,238.66,341.92,0.0,,10980.42,3631,False,0
a7f7fc,UPS223,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-85.7557,38.2027,388.62,False,90.28,338.26,8.13,,388.62,,False,0
a44983,UAL2467,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-118.2113,44.9173,10058.4,False,252.6,127.22,0.0,,10180.32,3524,False,0
a42323,FFT1602,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-106.8554,38.4888,10675.62,False,263.64,75.88,0.0,,11338.56,7227,False,0
ab2fff,N82RF,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-96.0768,29.8363,624.84,False,66.59,316.57,0.33,,624.84,,False,0
0d0ec8,VOI1871,Mexico,2026-09-07 06:56:14,2026-09-07 06:56:14,-120.0822,43.8056,10058.4,False,262.17,137.54,0.33,,10271.76,6611,False,0
a4495b,UAL1652,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-119.9342,47.8958,10027.92,False,240.76,122.43,5.85,,10111.74,,False,0
a8064e,,United States,2026-09-07 06:58:17,2026-09-07 06:58:18,-92.6766,31.8016,815.34,False,60.86,157.12,0.33,,822.96,,False,0
3c4599,BOX619,Germany,2026-09-07 06:58:18,2026-09-07 06:58:18,-118.2936,33.9466,480.06,False,85.9,263.81,-4.23,,464.82,2144,False,0
a66346,,United States,2026-09-07 06:57:41,2026-09-07 06:57:41,-122.3859,37.6102,,True,0.0,340.31,,,,,False,0
a0b5f5,N145HC,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-75.5394,39.7848,289.56,False,37.47,98.69,2.93,,320.04,,False,0
a47e28,EJA389,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-75.1528,42.6459,13106.4,False,236.27,92.0,0.33,,13426.44,2617,False,0
abd6c6,FDX34,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-75.9222,36.8992,10668.0,False,269.14,88.58,0.0,,11109.96,,False,0
71bd79,AAR203,Republic of Korea,2026-09-07 06:58:18,2026-09-07 06:58:18,-122.6219,35.9367,10363.2,False,250.96,299.88,0.0,,10835.64,,False,0
a9ab05,ASA1648,United States,2026-09-07 06:58:17,2026-09-07 06:58:18,-116.0915,44.1366,10668.0,False,252.96,120.42,-0.33,,10896.6,4333,False,0
a71b43,AAL2873,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-121.2684,45.0707,6979.92,False,230.49,110.38,8.13,,7078.98,,False,0
a4ce9d,FFT3521,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-113.8228,35.7056,6248.4,False,186.75,281.28,-5.2,,6598.92,6624,False,0
a46b6b,N384P,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-112.9825,33.7364,1729.74,False,54.55,291.0,-0.33,,1790.7,,False,0
a0b73a,N145WC,United States,2026-09-07 06:56:24,2026-09-07 06:56:24,-84.5032,39.137,259.08,False,6.86,77.01,-0.98,,281.94,,False,0
a2946d,N26533,United States,2026-09-07 06:58:17,2026-09-07 06:58:18,-94.8499,38.0816,2865.12,False,97.61,214.7,-2.6,,2994.66,,False,0
a066c7,FDX64,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-87.2293,33.8215,12192.0,False,200.49,299.85,-0.33,,12893.04,7462,False,0
a5449a,AAL3022,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-101.9232,35.3168,9448.8,False,244.85,109.01,-0.33,,10119.36,,False,0
71be17,KAL208,Republic of Korea,2026-09-07 06:58:17,2026-09-07 06:58:17,-122.664,35.902,10972.8,False,243.07,300.53,0.0,,11483.34,1530,False,0
71be40,AAR223,Republic of Korea,2026-09-07 06:58:18,2026-09-07 06:58:18,-81.1928,44.5978,10363.2,False,211.86,312.84,0.33,,10728.96,1623,False,0
a5edca,N481RC,United States,2026-09-07 06:58:14,2026-09-07 06:58:14,-81.3411,28.5502,,True,2.31,101.25,,,,,False,0
a5a38e,ASA2623,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-101.907,38.5385,11582.4,False,221.09,275.21,0.0,,12321.54,,False,0
a79386,ASA2613,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-79.8414,39.0628,12192.0,False,241.91,251.53,0.0,,12679.68,1506,False,0
a1f8d3,N226RS,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-75.9992,41.3608,6355.08,False,211.94,110.46,-6.83,,6553.2,2673,False,0
0c20f3,CMP850,Panama,2026-09-07 06:58:18,2026-09-07 06:58:18,-107.0483,29.1945,10668.0,False,235.59,116.17,0.0,,11376.66,7260,False,0
a48e46,DAL764,United States,2026-09-07 06:58:16,2026-09-07 06:58:17,-105.4075,35.7788,10050.78,False,254.39,66.65,-0.33,,10721.34,1350,False,0
0c20e0,CMP362,Panama,2026-09-07 06:53:31,2026-09-07 06:53:34,-106.397,28.9103,10058.4,False,235.36,116.62,0.0,,10728.96,2001,False,0
a80329,SKW5586,United States,2026-09-07 06:57:50,2026-09-07 06:58:12,-122.5546,45.5788,38.1,False,64.26,299.23,-3.25,,76.2,3232,False,0
ac3c0e,FDX6427,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-118.3019,44.9663,11277.6,False,267.0,126.54,0.0,,11483.34,7224,False,0
0c2188,CMP409,Panama,2026-09-07 06:58:17,2026-09-07 06:58:18,-94.6045,27.1387,10668.0,False,234.86,130.91,0.0,,11315.7,3303,False,0
a1d2dc,JBU488,United States,2026-09-07 06:57:51,2026-09-07 06:57:53,-107.7832,39.7207,10066.02,False,266.61,65.61,-0.33,,10668.0,1060,False,0
abe79d,SWA3534,United States,2026-09-07 06:58:17,2026-09-07 06:58:18,-116.6648,46.0047,10668.0,False,243.51,111.96,0.0,,10820.4,,False,0
a6e8ae,VOS4313,United States,2026-09-07 06:58:17,2026-09-07 06:58:18,-77.6067,38.8509,1676.4,False,142.05,210.47,15.61,,1729.74,,False,0
adbe91,JBU1400,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-94.3992,30.8281,10668.0,False,225.49,112.82,0.0,,11338.56,2744,False,0
39d2b3,AFR027,France,2026-09-07 06:58:17,2026-09-07 06:58:17,-95.3243,46.3085,11887.2,False,270.84,84.44,0.0,,12458.7,,False,0
a3bdb3,N340EA,United States,2026-09-07 06:56:55,2026-09-07 06:56:55,-104.5767,38.958,2080.26,False,38.07,161.08,-2.6,,2133.6,4220,False,0
a3bdac,DAL2635,United States,2026-09-07 06:58:09,2026-09-07 06:58:15,-122.3819,37.6149,,True,0.0,289.69,,,,1524,False,0
